degree,drug1,drug2
1,阿卡波糖片,硫辛酸胶囊
1,阿卡波糖片,硫辛酸注射液
0,阿卡波糖片,盐酸二甲双胍片
1,盐酸阿米替林片,铝镁混悬液
1,盐酸阿米替林片,氢化可的松注射液
1,盐酸阿米替林片,紫杉醇注射液
1,盐酸阿米替林片,西咪替丁注射液
1,盐酸阿米替林片,卡马西平片
1,阿那曲唑片,氟维司群注射液
1,阿普唑仑片,氢氯噻嗪片
0,阿普唑仑片,西咪替丁注射液
1,阿普唑仑片,多巴丝肼片
1,阿普唑仑片,异烟肼片
1,阿普唑仑片,地高辛片
1,阿奇霉素片,伏立康唑片
1,阿奇霉素片,注射用伏立康唑
1,注射用阿奇霉素,伏立康唑片
1,注射用阿奇霉素,注射用伏立康唑
0,阿奇霉素片,卡马西平片
0,注射用阿奇霉素,卡马西平片
1,阿奇霉素片,芬太尼透皮贴剂
1,注射用阿奇霉素,芬太尼透皮贴剂
1,阿奇霉素片,咪达唑仑注射液
1,注射用阿奇霉素,咪达唑仑注射液
0,阿奇霉素片,环孢素软胶囊
0,注射用阿奇霉素,环孢素软胶囊
1,阿司匹林肠溶片,布洛芬颗粒
1,阿司匹林肠溶片,氨酚羟考酮片
1,阿司匹林肠溶片,氨酚曲马多片
1,阿司匹林肠溶片,氨酚双氢可待因片
1,阿司匹林肠溶片,对乙酰氨基酚缓释片
1,阿司匹林肠溶片,酚麻美敏胶囊
1,阿司匹林肠溶片,吉非替尼片
1,阿司匹林肠溶片,甲氨蝶呤注射液
1,阿司匹林肠溶片,注射用兰索拉唑
1,阿司匹林肠溶片,利伐沙班片
1,阿司匹林肠溶片,塞来昔布胶囊
1,阿司匹林肠溶片,双嘧达莫片
1,阿司匹林肠溶片,间苯三酚注射液
1,阿司匹林肠溶片,维生素C片
1,阿司匹林肠溶片,维生素C注射液
1,阿司匹林肠溶片,盐酸异丙嗪注射液
1,阿司匹林肠溶片,右旋糖酐铁片
1,阿司匹林肠溶片,长春西汀注射液
1,阿司匹林肠溶片,西洛他唑片
0,阿司匹林肠溶片,注射用尿激酶
1,阿司匹林肠溶片,格列吡嗪控释片
1,阿司匹林肠溶片,格列齐特缓释片
0,阿司匹林肠溶片,奥美拉唑碳酸氢钠胶囊
0,阿司匹林肠溶片,复方聚乙二醇电解质散
0,阿司匹林肠溶片,间苯三酚注射液
0,阿司匹林肠溶片,碳酸氢钠片
0,阿司匹林肠溶片,碳酸氢钠注射液
0,阿司匹林肠溶片,维生素C注射液
0,阿司匹林肠溶片,胃铋镁颗粒
1,醋酸钙胶囊,铝镁混悬液
1,醋酸钙胶囊,氢化可的松注射液
1,醋酸钙胶囊,紫杉醇注射液
1,醋酸钙片,铝镁混悬液
1,醋酸钙片,氢化可的松注射液
1,醋酸钙片,紫杉醇注射液
1,艾司奥美拉唑镁肠溶片,阿司匹林肠溶片
0,艾司唑仑片,西咪替丁注射液
1,艾司唑仑片,多巴丝肼片
1,艾司唑仑片,异烟肼片
1,艾司唑仑片,地高辛片
1,艾司唑仑片,卡马西平片
1,艾司唑仑片,铝镁混悬液
