drug1,drug2,degree
阿苯达唑,吡喹酮,2
阿苯达唑,伊维菌素,1
阿苯达唑,乙胺嗪,1
阿苯达唑,左旋咪唑,1
阿芬太尼,奈福泮,2
阿芬太尼,红霉素,0
阿芬太尼,地尔硫革,0
阿芬太尼,酮康唑,0
阿芬太尼,伊曲康唑,0
阿夫唑嗪,他达拉非,1
阿芬太尼,美索比妥,3
阿芬太尼,硫喷妥钠,3
阿芬太尼,丙泊酚,6
阿格列汀,吡格列酮,1
阿芬太尼,纳曲酮,4
阿夫唑嗪,莫西沙星,4
阿格列汀,二甲双胍,1
阿芬太尼,纳洛酮,3
阿芬太尼,烯丙吗啡,3
阿格列扎,阿托伐他汀,1
阿格列汀,格列本脲,1
阿芬太尼,利福布丁,3
阿格列扎,瑞舒伐他汀,1
阿芬太尼,乙醇,3
阿卡波糖,硫辛酸,1
阿格列汀,西咪替丁,1
阿卡波糖,罗格列酮,1
阿卡波糖,氢氧化铝,1
阿卡波糖,氢氧化镁,1
阿卡波糖,二甲双胍,4
阿卡波糖,胰岛素,4
阿卡波糖,考来烯胺,5
阿立哌唑,乙醇,4
阿利吉仑,氨氯地平,2
阿利吉仑,橙汁,3
阿利吉仑,苹果汁,3
阿利维A酸,环孢素,1
阿利维A酸,酮康唑,3
阿利维A酸,辛伐他汀,2
阿仑膦酸,特立帕肽,3
阿米洛利,奎尼丁,4
阿米洛利,吲哚美辛,6
阿米洛利,多巴胺,0
阿米洛利,葡萄糖胰岛素,4
阿米洛利,考来烯胺,6
阿米洛利,甘珀酸钠,3
阿米洛利,氢氯噻嗪,0
阿米洛利,环孢素A,4
阿米洛利,地高辛,4
阿米洛利,氯化铵,6
阿米洛利,他克莫司,4
阿米洛利,依普利酮,7
阿米替林,胺碘酮,3
阿米替林,奥利司他,1
阿米替林,利培酮,1
阿米替林,米氮平,1
阿米替林,特比萘芬,3
阿米替林,酮康唑,3
阿米替林,乙醇,1
阿米替林,西咪替丁,3
阿米替林,哌甲酯,3
阿米替林,苯妥英,3
阿米替林,卡马西平,3
阿米替林,利福平,3
阿米替林,硫糖铝,0
阿米替林,烟草,3
阿莫地喹,磺胺多辛,1
阿莫曲坦,吗氯贝胺,1
阿莫西林,奥司他韦,1
阿莫西林,希美加群,1
阿莫西林,磷酸克林霉素,7
阿莫西林,盐酸林可霉素,7
阿莫西林,多黏菌素B,7
阿莫西林,琥珀氯霉素,7
阿莫西林,红霉素,7
阿莫西林,肾上腺素,7
阿莫西林,间羟胺,7
阿莫西林,多巴胺,7
阿莫西林,阿托品,7
阿莫西林,葡萄糖酸钙,7
阿莫西林,维生素B族,7
阿莫西林,维生素C,7
阿莫西林,琥珀酸氢化可的松,7
阿莫西林,阿司匹林,6
阿莫西林,吲哚美辛,6
阿莫西林,华法林,0
阿那曲唑,氟维司群,3
阿尼芬净,他克莫司,1
阿尼芬净,环孢素,3
阿哌沙班,依诺肝素,1
阿扑吗啡,酚妥拉明,2
阿扑吗啡,纳洛酮,1
阿扑吗啡,左旋多巴,2
阿普唑仑,阿洛司琼,1
阿普唑仑,格拉司琼,2
阿普唑仑,利托那韦,3
阿普唑仑,帕罗西汀,1
阿普唑仑,葡萄柚汁,1
阿普唑仑,酮康唑,3
阿普唑仑,伊曲康唑,3
阿普唑仑,酒,3
阿普唑仑,可乐定,3
阿普唑仑,氢氯噻嗪,0
阿普唑仑,西咪替丁,4
阿普唑仑,普萘洛尔,4
阿普唑仑,扑米酮,3
阿普唑仑,左旋多巴,3
阿普唑仑,利福平,3
阿普唑仑,异烟肼,3
阿普唑仑,地高辛,3
阿奇霉素,伏立康唑,1
阿奇霉素,利福布汀,2
阿奇霉素,氯喹,1
阿奇霉素,希美加群,1
阿奇霉素,伊维菌素,1
阿奇霉素,卡马西平,6
阿奇霉素,芬太尼,3
阿奇霉素,阿司咪唑,6
阿奇霉素,特非那定,6
阿奇霉素,西沙必利,6
阿奇霉素,氯霉素,4
阿奇霉素,华法林,4
阿奇霉素,洛伐他汀,4
阿奇霉素,咪达唑仑,0
阿奇霉素,三唑仑,0
阿奇霉素,环孢素,6
阿奇霉素,茶碱,6
阿司匹林,PPI,2
阿司匹林,SSRls,3
阿司匹林,阿昔单抗,0
阿司匹林,奥司他韦,1
阿司匹林,丙磺舒,1
阿司匹林,布洛芬,3
阿司匹林,对乙酰氨基酚,1
阿司匹林,磺达肝素钠,1
阿司匹林,吉非替尼,1
阿司匹林,甲氨蝶呤,2
阿司匹林,兰索拉唑,1
阿司匹林,雷尼替丁,3
阿司匹林,利伐沙班,1
阿司匹林,氯吡格雷,1
阿司匹林,罗非昔布,3
阿司匹林,美拉加群,1
阿司匹林,美洛昔康,1
阿司匹林,纳豆激酶,1
阿司匹林,萘普生,4
阿司匹林,帕罗西汀,3
阿司匹林,培美曲塞,1
阿司匹林,普拉格雷,1
阿司匹林,巧克力,2
阿司匹林,去氨加压素,4
阿司匹林,塞来昔布,1
阿司匹林,沙利度胺,2
阿司匹林,舒林酸,1
阿司匹林,双氯芬酸,1
阿司匹林,双嘧达莫,2
阿司匹林,维生素C,3
阿司匹林,西拉非班,0
阿司匹林,西洛他唑,1
阿司匹林,吲哚美辛,4
