注射用奥沙利铂,神经病变
去乙酰毛花苷注射液,交界性心动过速
地高辛片,交界性心动过速
地高辛片,交界性心动过速
去乙酰毛花苷注射液,阵发性房性心动过速伴房室传导阻滞
地高辛片,阵发性房性心动过速伴房室传导阻滞
酒石酸托特罗定片,干眼症
注射用倍他米松磷酸钠,精神病
非洛地平缓释片,咽炎
甘露醇注射液,血栓性静脉炎
复方磺胺甲噁唑片,血红蛋白尿
醋酸曲普瑞林注射液,性欲减退女
复方磺胺甲噁唑片,黄疸
去乙酰毛花苷注射液,心室颤动
地高辛片,心室颤动
盐酸多西环素片,呼吸道感染
盐酸多西环素片,尿路感染
盐酸多西环素片,消化道感染
盐酸胺碘酮注射液,纤维化性肺泡炎
注射用左卡尼汀,失眠
注射用左卡尼汀,压抑
注射用左卡尼汀,头晕
地塞米松磷酸钠注射液,糖皮质激素停药综合征
盐酸二甲双胍片,糖尿病眼底病变
盐酸二甲双胍片,糖尿病肾病
盐酸二甲双胍片,糖尿病合并严重的慢性并发症
注射用倍他米松磷酸钠,骨质疏松症
去乙酰毛花苷注射液,室性心动过速
地高辛片,室性心动过速
复方磺胺甲噁唑片,肾脏损害
注射用顺铂,肾小管损伤
氢化可的松注射液,皮质激素停药综合征
非洛地平缓释片,皮肤挫伤
复合乳酸菌胶囊,偶见皮疹
醋酸曲普瑞林注射液,男性热潮红阳痿
阿加曲班注射液,出血性脑梗塞
阿加曲班注射液,血小板减少性紫癜
阿加曲班注射液,颅内出血
非洛地平缓释片,流行性感冒
甘露醇注射液,口渴
注射用左卡尼汀,鼻炎
注射用左卡尼汀,咽喉炎
非洛地平缓释片,呼吸道感染
非洛地平缓释片,红斑
甘露醇注射液,寒战
盐酸胺碘酮注射液,过敏性肺炎
葡萄糖氯化钠注射液,高血糖非酮症昏迷
氢氯噻嗪片,高糖血症
注射用左卡尼汀,血容量增多症
注射用左卡尼汀,高钾血症
注射用左卡尼汀,高钙血症
复方磺胺甲噁唑片,高胆红素血症
复方磺胺甲噁唑片,肝脏损害
非洛地平缓释片,风疹
巴氯芬片,骨骼肌痉挛
去乙酰毛花苷注射液,房室传导阻滞
地高辛片,房室传导阻滞
注射用倍他米松磷酸钠,高血压
注射用倍他米松磷酸钠,肾上腺皮质机能亢进症
注射用倍他米松磷酸钠,骨折创伤
注射用倍他米松磷酸钠,新近胃肠吻合手术
注射用倍他米松磷酸钠,消化性溃疡
注射用倍他米松磷酸钠,糖尿病
注射用倍他米松磷酸钠,癫痫
非洛地平缓释片,鼻窦炎
硫酸羟氯喹片,关节炎
硫酸羟氯喹片,红斑狼疮
骨化三醇胶丸,骨质疏松
骨化三醇胶丸,慢性肾功能衰竭
骨化三醇胶丸,甲状旁腺功能低下
骨化三醇胶丸,维生素D依赖性佝偻病
低分子肝素钙注射液,静脉血栓
甲磺酸酚妥拉明注射液,嗜铬细胞瘤
甲磺酸酚妥拉明注射液,左心室衰竭
注射用倍他米松磷酸钠,关节炎
注射用倍他米松磷酸钠,支气管哮喘
注射用替考拉宁,革兰阳性菌感染
乳果糖口服溶液,便秘
多烯磷脂酰胆碱注射液,肝病
