id,d
1,阿苯达唑
2,阿芬太尼
3,阿夫唑嗪
4,阿格列汀
5,阿格列扎
6,阿卡波糖
7,阿立哌唑
8,阿利吉仑
9,阿利维A酸
10,阿仑膦酸
11,阿米洛利
12,阿米替林
13,阿莫地喹
14,阿莫曲坦
15,阿莫西林
16,阿那曲唑
17,阿尼芬净
18,阿哌沙班
19,阿扑吗啡
20,阿普唑仑
21,阿奇霉素
22,阿司匹林
23,阿替洛尔
24,阿托伐他汀
25,醋酸钙
26,阿昔莫司
27,阿昔替尼
28,阿扎胞苷
29,阿扎那韦
30,阿折地平
31,埃索美拉唑
32,艾曲泊帕
33,艾塞那肽
34,艾司西酞普兰
35,艾司唑仑
36,艾维雷韦
37,安贝生坦
38,氨茶碱
39,氨基葡萄糖
40,氨氯地平
41,氨曲南
42,氨溴索
43,胺碘酮
44,昂丹司琼
45,奥氮平
46,奥卡西平
47,奥利司他
48,奥美拉唑
49,奥美沙坦
50,奥曲肽
51,奥沙西泮
52,奥司他韦
53,奥硝唑
54,巴氯芬
55,白消安
56,白芷提取物
57,班布特罗
58,贝美前列素
59,贝那普利
60,苯巴比妥
61,苯妥英
62,苯溴马隆
63,苯乙肼
64,比拉斯汀
65,比索洛尔
66,吡格列酮
67,吡罗昔康
68,别嘌醇
69,丙泊酚
70,丙磺舒
71,丙氯拉嗪
72,丙米嗪
73,丙酸倍氯米松
74,丙戊酸
75,波生坦
76,泊沙康唑
77,布比卡因
78,布地奈德
79,布洛芬
80,布美他尼
81,茶碱
82,刺五加提取物
83,促红细胞生成素
84,醋硝香豆素
85,达肝素钠
86,达格列净
87,达芦那韦/利托那韦
88,达那唑
89,达塞曲匹
90,达沙替尼
91,大麻素
92,大蒜提取物
93,单硝酸异山梨酯
94,氮?斯汀
95,当归提取物
96,地尔硫革
97,地高辛
98,地塞米松
99,地西泮
100,地昔帕明
101,丁螺环酮
102,毒扁豆碱
103,度格列汀
104,对乙酰氨基酚
105,多潘立酮
106,多沙唑嗪
107,多西环素
108,厄贝沙坦
109,厄洛替尼
110,恩夫韦肽
111,二甲双胍
112,伐地那非
113,伐昔洛韦
114,法莫替丁
115,凡他尼布
116,非布司他
117,非洛地平
118,非马沙坦
